,movie,year,imdb,metascore,votes,n_imdb
1101,My Super Ex-Girlfriend,2006,5.1,50,57607,51.0
1102,Black Snake Moan,2006,7.0,52,56890,70.0
1103,Paprika,2006,7.7,81,56329,77.0
1104,Penelope,2006,6.8,48,55470,68.0
1105,Eight Below,2006,7.3,64,54270,73.0
1106,Date Movie,2006,2.8,11,53378,28.0
1107,Firewall,2006,5.8,45,52785,58.0
1108,The Omen,2006,5.5,43,52164,55.0
1109,We Are Marshall,2006,7.1,53,51768,71.0
1110,RV,2006,5.5,33,50900,55.0
1111,Wristcutters: A Love Story,2006,7.3,62,50001,73.0
1112,Just My Luck,2006,5.4,29,48974,54.0
1113,Tristan + Isolde,2006,6.8,49,47808,68.0
1114,Inland Empire,2006,7.0,72,47591,70.0
1115,The Sentinel,2006,6.1,49,44926,61.0
1116,Tell No One,2006,7.5,82,44352,75.0
1117,The Benchwarmers,2006,5.6,25,44263,56.0
1118,Littleman,2006,4.3,26,44211,43.0
1119,The Covenant,2006,5.3,19,43068,53.0
1120,The Grudge 2,2006,5.0,33,42812,50.0
1121,The Wind that Shakes the Barley,2006,7.5,82,40979,75.0
1122,DOA: Dead or Alive,2006,4.8,38,40747,48.0
1123,Employee of the Month,2006,5.5,36,40431,55.0
1124,Bobby,2006,7.0,54,39569,70.0
1125,Candy,2006,7.3,57,39457,73.0
1126,The Last Kiss,2006,6.5,57,39423,65.0
1127,Curse of the Golden Flower,2006,7.0,70,39128,70.0
1128,When a Stranger Calls,2006,5.1,27,38678,51.0
1129,Glory Road,2006,7.2,58,38606,72.0
1130,Flyboys,2006,6.5,47,38332,65.0
1131,Gridiron Gang,2006,6.9,52,37524,69.0
1132,Black Sheep,2006,5.8,62,36801,58.0
1133,Big Momma's House 2,2006,4.7,34,36161,47.0
1134,Southland Tales,2006,5.5,44,34336,55.0
1135,Aquamarine,2006,5.3,51,34205,53.0
1136,Severance,2006,6.5,62,33960,65.0
1137,Basic Instinct 2,2006,4.3,26,33922,43.0
1138,Turistas,2006,5.4,36,33392,54.0
1139,The Ant Bully,2006,5.8,59,33187,58.0
1140,Garfield 2,2006,5.0,37,32716,50.0
1141,Charlotte's Web,2006,6.3,68,31853,63.0
1142,Day Watch,2006,6.5,59,31557,65.0
1143,Hollywoodland,2006,6.5,62,30876,65.0
1144,Bug,2006,6.1,62,30367,61.0
1145,Find Me Guilty,2006,7.1,65,30312,71.0
1146,The Marine,2006,4.7,45,29887,47.0
1147,Man of the Year,2006,6.2,39,29672,62.0
1148,Shortbus,2006,6.5,64,29669,65.0
1149,Arthur and the Invisibles,2006,6.0,39,28974,60.0
1150,After the Wedding,2006,7.8,78,28515,78.0
1151,Priceless,2006,7.0,72,28264,70.0
1152,All the Boys Love Mandy Lane,2006,5.6,44,28246,56.0
1153,Stay Alive,2006,5.1,24,27677,51.0
1154,School for Scoundrels,2006,5.9,44,27656,59.0
1155,Unknown,2006,6.5,44,27604,65.0
1156,Tales from Earthsea,2006,6.5,47,27471,65.0
1157,Goya's Ghosts,2006,6.9,52,27220,69.0
1158,Seraphim Falls,2006,6.7,62,26850,67.0
1159,Them,2006,6.5,60,26745,65.0
1160,Fido,2006,6.7,70,26608,67.0
1161,The Santa Clause 3: The Escape Clause,2006,4.7,32,26605,47.0
1162,Pulse,2006,4.7,27,26448,47.0
1163,This Film Is Not Yet Rated,2006,7.5,75,26374,75.0
1164,Miss Potter,2006,7.0,57,25802,70.0
1165,No Country for Old Men,2007,8.1,91,722408,81.0
1166,I Am Legend,2007,7.2,65,606497,72.0
1167,The Bourne Ultimatum,2007,8.0,85,562988,80.0
1168,Transformers,2007,7.1,61,554011,71.0
1169,Ratatouille,2007,8.0,96,542746,80.0
1170,Pirates of the Caribbean: At World's End,2007,7.1,50,533752,71.0
1171,Into the Wild,2007,8.1,73,500381,81.0
1172,Superbad,2007,7.6,76,465068,76.0
1173,Juno,2007,7.5,81,452418,75.0
1174,There Will Be Blood,2007,8.1,93,439712,81.0
1175,Spider-Man 3,2007,6.2,59,436428,62.0
1176,Harry Potter and the Order of the Phoenix,2007,7.5,71,421114,75.0
1177,Hot Fuzz,2007,7.9,81,403592,79.0
1178,Zodiac,2007,7.7,78,366101,77.0
1179,Live Free or Die Hard,2007,7.2,69,361161,72.0
1180,American Gangster,2007,7.8,76,353171,78.0
1181,Knocked Up,2007,7.0,85,322155,70.0
1182,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83,311317,74.0
1183,Ocean's Thirteen,2007,6.9,62,285751,69.0
1184,Shooter,2007,7.2,53,281590,72.0
1185,The Simpsons Movie,2007,7.4,80,281355,74.0
1186,3:10 to Yuma,2007,7.7,76,260502,77.0
1187,The Mist,2007,7.2,58,250113,72.0
1188,Shrek the Third,2007,6.0,58,240541,60.0
1189,1408,2007,6.8,64,233748,68.0
1190,28 Weeks Later,2007,7.0,78,233560,70.0
1191,Stardust,2007,7.7,66,231349,77.0
1192,Fantastic 4: Rise of the Silver Surfer,2007,5.6,45,231140,56.0
1193,Gone Baby Gone,2007,7.7,72,222729,77.0
1194,Atonement,2007,7.8,85,217861,78.0
1195,Sunshine,2007,7.3,64,211873,73.0
1196,Eastern Promises,2007,7.7,82,207591,77.0
1197,The Bucket List,2007,7.4,42,206092,74.0
1198,Paranormal Activity,2007,6.3,68,201864,63.0
1199,Ghost Rider,2007,5.2,35,201579,52.0
1200,Disturbia,2007,6.9,62,201441,69.0
1201,National Treasure: Book of Secrets,2007,6.5,48,199281,65.0
1202,P.S. I Love You,2007,7.1,39,185869,71.0
1203,Resident Evil: Extinction,2007,6.3,41,167651,63.0
1204,Grindhouse,2007,7.6,77,165840,76.0
1205,The Golden Compass,2007,6.1,51,162070,61.0
1206,Fracture,2007,7.2,68,160752,72.0
1207,Enchanted,2007,7.1,75,158906,71.0
1208,The Darjeeling Limited,2007,7.2,67,157566,72.0
1209,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,68,151617,75.0
1210,Beowulf,2007,6.2,59,151525,62.0
1211,30 Days of Night,2007,6.6,53,151373,66.0
1212,Hitman,2007,6.3,35,150165,63.0
1213,Michael Clayton,2007,7.3,82,145183,73.0
1214,Blades of Glory,2007,6.3,64,142135,63.0
1215,Shoot 'Em Up,2007,6.7,49,137279,67.0
1216,Next,2007,6.2,42,135738,62.0
1217,Rush Hour 3,2007,6.2,44,135192,62.0
1218,Mr. Brooks,2007,7.3,45,132877,73.0
1219,The Orphanage,2007,7.5,74,132785,75.0
1220,I Now Pronounce You Chuck & Larry,2007,6.0,37,129721,60.0
1221,Lars and the Real Girl,2007,7.3,70,126966,73.0
1222,Saw IV,2007,5.9,36,125824,59.0
1223,Evan Almighty,2007,5.4,37,125705,54.0
1224,Bridge to Terabithia,2007,7.2,74,125677,72.0
1225,Bee Movie,2007,6.1,54,121048,61.0
1226,The Kingdom,2007,7.1,56,109534,71.0
1227,Hairspray,2007,6.7,81,108445,67.0
1228,Wild Hogs,2007,5.9,27,106872,59.0
1229,Aliens vs. Predator: Requiem,2007,4.7,29,103713,47.0
1230,Once,2007,7.9,88,102103,79.0
1231,Mr. Bean's Holiday,2007,6.4,56,100790,64.0
1232,Across the Universe,2007,7.4,56,99003,74.0
1233,Death at a Funeral,2007,7.4,67,98221,74.0
1234,Charlie Wilson's War,2007,7.1,69,97153,71.0
1235,Halloween,2007,6.1,47,96769,61.0
1236,The Diving Bell and the Butterfly,2007,8.0,92,96271,80.0
1237,August Rush,2007,7.5,38,96180,75.0
1238,Epic Movie,2007,2.3,17,95612,23.0
1239,Hannibal Rising,2007,6.2,35,94694,62.0
1240,Dan in Real Life,2007,6.8,65,91835,68.0
1241,Elite Squad,2007,8.1,33,89558,81.0
1242,Music and Lyrics,2007,6.5,59,88679,65.0
1243,Reign Over Me,2007,7.5,61,88508,75.0
1244,Before the Devil Knows You're Dead,2007,7.3,84,87893,73.0
1245,Vacancy,2007,6.2,54,86748,62.0
1246,Funny Games,2007,6.5,44,79684,65.0
1247,Good Luck Chuck,2007,5.6,19,79500,56.0
1248,Persepolis,2007,8.1,90,78861,81.0
1249,War,2007,6.3,36,78525,63.0
1250,The Heartbreak Kid,2007,5.8,46,77872,58.0
1251,We Own the Night,2007,6.9,59,77621,69.0
1252,Hostel: Part II,2007,5.5,46,77601,55.0
1253,Meet the Robinsons,2007,6.9,61,76535,69.0
1254,Dead Silence,2007,6.2,34,75930,62.0
1255,La Vie en Rose,2007,7.6,66,74458,76.0
1256,The Kite Runner,2007,7.6,61,72853,76.0
1257,Sicko,2007,8.0,74,70267,80.0
1258,88 Minutes,2007,5.9,17,70096,59.0
1259,The Invasion,2007,5.9,45,69374,59.0
1260,Awake,2007,6.5,33,67985,65.0
1261,Premonition,2007,5.9,29,67147,59.0
1262,Hot Rod,2007,6.7,43,66983,67.0
1263,Alvin and the Chipmunks,2007,5.2,39,65477,52.0
1264,Death Sentence,2007,6.8,36,64767,68.0
1265,No Reservations,2007,6.3,50,64388,63.0
1266,In the Valley of Elah,2007,7.2,65,64333,72.0
1267,Chak de! India,2007,8.2,68,62215,82.0
1268,"Run, Fatboy, Run",2007,6.6,48,62203,66.0
1269,Walk Hard: The Dewey Cox Story,2007,6.8,63,60706,68.0
1270,Surf's Up,2007,6.7,64,59956,67.0
1271,Elizabeth: The Golden Age,2007,6.9,45,59888,69.0
1272,Charlie Bartlett,2007,7.0,54,59629,70.0
1273,Norbit,2007,4.0,27,59545,40.0
1274,Freedom Writers,2007,7.5,64,59366,75.0
1275,TMNT,2007,6.3,41,56984,63.0
1276,Control,2007,7.7,78,55960,77.0
1277,The Hills Have Eyes II,2007,5.1,32,55097,51.0
1278,Breach,2007,7.0,74,54682,70.0
1279,The Brave One,2007,6.8,56,54066,68.0
1280,The Lookout,2007,7.0,73,53786,70.0
1281,The Nanny Diaries,2007,6.2,46,52301,62.0
1282,Becoming Jane,2007,7.1,55,52208,71.0
1283,I'm Not There.,2007,7.0,73,52008,70.0
1284,The Great Debaters,2007,7.6,65,51882,76.0
1285,Rendition,2007,6.8,55,50772,68.0
1286,The Game Plan,2007,6.2,44,50539,62.0
1287,"4 Months, 3 Weeks and 2 Days",2007,7.9,97,50188,79.0
1288,Timecrimes,2007,7.2,68,49592,72.0
1289,My Blueberry Nights,2007,6.7,52,48035,67.0
1290,The Condemned,2007,6.1,23,47512,61.0
1291,Cassandra's Dream,2007,6.7,49,47144,67.0
1292,Lions for Lambs,2007,6.2,47,44169,62.0
1293,Diary of the Dead,2007,5.7,66,43245,57.0
1294,Sydney White,2007,6.3,45,41489,63.0
1295,Perfect Stranger,2007,5.7,31,41053,57.0
1296,In the Name of the King: A Dungeon Siege Tale,2007,3.8,15,40925,38.0
1297,Mongol: The Rise of Genghis Khan,2007,7.3,74,40916,73.0
1298,Waitress,2007,7.0,75,40500,70.0
1299,The Counterfeiters,2007,7.6,78,39880,76.0
1300,The Reaping,2007,5.7,36,39832,57.0
1301,Pathfinder,2007,5.4,29,39800,54.0
1302,The Visitor,2007,7.7,79,39502,77.0
1303,Mr. Magorium's Wonder Emporium,2007,6.2,48,38779,62.0
1304,Balls of Fury,2007,5.3,38,37997,53.0
1305,Teeth,2007,5.4,57,37903,54.0
1306,The Hitcher,2007,5.6,28,37560,56.0
1307,The Messengers,2007,5.4,34,35708,54.0
1308,Fred Claus,2007,5.6,42,35399,56.0
1309,License to Wed,2007,5.3,25,35129,53.0
1310,Boy A,2007,7.6,75,35112,76.0
1311,Cleaner,2007,6.1,49,34865,61.0
1312,Because I Said So,2007,5.6,26,34780,56.0
1313,The Water Horse,2007,6.5,71,34493,65.0
1314,The Savages,2007,7.2,85,33700,72.0
1315,"Lust, Caution",2007,7.6,61,33420,76.0
1316,Mr. Woodcock,2007,5.2,41,33083,52.0
1317,The Invisible,2007,6.3,36,32846,63.0
1318,The King of Kong: A Fistful of Quarters,2007,8.1,83,32706,81.0
1319,The Air I Breathe,2007,6.9,37,32499,69.0
1320,The Last Legion,2007,5.4,37,31809,54.0
1321,The Nines,2007,6.4,52,30584,64.0
1322,In the Land of Women,2007,6.5,47,29548,65.0
1323,Son of Rambow,2007,7.0,66,28924,70.0
1324,P2,2007,5.9,37,28580,59.0
1325,2 Days in Paris,2007,6.8,67,28522,68.0
1326,The Edge of Heaven,2007,7.8,85,28173,78.0
1327,Sleuth,2007,6.5,49,28141,65.0
1328,Paranoid Park,2007,6.7,83,26828,67.0
1329,Things We Lost in the Fire,2007,7.2,63,26025,72.0
1330,The Dark Knight,2008,9.0,82,1944582,90.0
1331,WALL·E,2008,8.4,95,853475,84.0
1332,Iron Man,2008,7.9,79,802502,79.0
1333,Slumdog Millionaire,2008,8.0,86,716419,80.0
1334,Gran Torino,2008,8.1,72,641314,81.0
1335,Taken,2008,7.8,50,523293,78.0
1336,The Curious Case of Benjamin Button,2008,7.8,70,516247,78.0
1337,Hancock,2008,6.4,49,392620,64.0
1338,Twilight,2008,5.2,56,377499,52.0
1339,The Hurt Locker,2008,7.6,94,375648,76.0
1340,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65,373739,62.0
1341,The Incredible Hulk,2008,6.8,61,373365,68.0
1342,Quantum of Solace,2008,6.6,58,364347,66.0
1343,Kung Fu Panda,2008,7.6,73,357296,76.0
1344,In Bruges,2008,7.9,67,346706,79.0
1345,Tropic Thunder,2008,7.0,71,339370,70.0
1346,Cloverfield,2008,7.0,64,338369,70.0
1347,Wanted,2008,6.7,64,329150,67.0
1348,Yes Man,2008,6.8,46,299350,68.0
1349,Pineapple Express,2008,7.0,64,282131,70.0
1350,Burn After Reading,2008,7.0,63,274672,70.0
1351,The Wrestler,2008,7.9,81,271158,79.0
1352,Jumper,2008,6.1,35,264059,61.0
1353,Seven Pounds,2008,7.6,36,258790,76.0
1354,Forgetting Sarah Marshall,2008,7.2,67,238759,72.0
1355,Step Brothers,2008,6.9,51,235931,69.0
1356,Hellboy II: The Golden Army,2008,7.0,78,230316,70.0
1357,Vicky Cristina Barcelona,2008,7.1,70,220219,71.0
1358,Changeling,2008,7.8,63,216203,78.0
1359,RocknRolla,2008,7.3,53,213271,73.0
1360,The Reader,2008,7.6,58,210253,76.0
1361,21,2008,6.8,48,207400,68.0
1362,Role Models,2008,6.9,61,206602,69.0
1363,Valkyrie,2008,7.1,56,205016,71.0
1364,Rambo,2008,7.0,46,195163,70.0
1365,Body of Lies,2008,7.1,57,192133,71.0
1366,Ip Man,2008,8.0,59,190122,80.0
1367,Let the Right One In,2008,7.9,82,189008,79.0
1368,Get Smart,2008,6.5,54,182758,65.0
1369,Death Race,2008,6.4,43,181682,64.0
1370,The Happening,2008,5.0,34,179072,50.0
1371,You Don't Mess with the Zohan,2008,5.5,54,171478,55.0
1372,Madagascar: Escape 2 Africa,2008,6.7,61,170803,67.0
1373,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,169897,65.0
1374,Revolutionary Road,2008,7.3,69,169375,73.0
1375,Mamma Mia!,2008,6.4,51,169304,64.0
1376,Bolt,2008,6.9,67,165402,69.0
1377,Eagle Eye,2008,6.6,43,162400,66.0
1378,The Bank Job,2008,7.3,69,162242,73.0
1379,Zack and Miri Make a Porno,2008,6.6,56,160462,66.0
1380,The Boy in the Striped Pajamas,2008,7.8,55,158968,78.0
1381,What Happens in Vegas,2008,6.1,36,152989,61.0
1382,The Day the Earth Stood Still,2008,5.5,40,151093,55.0
1383,Milk,2008,7.6,84,150484,76.0
1384,Transporter 3,2008,6.1,51,141359,61.0
1385,"Definitely, Maybe",2008,7.2,59,140702,72.0
1386,27 Dresses,2008,6.1,47,138594,61.0
1387,Vantage Point,2008,6.6,40,135756,66.0
1388,The Mummy: Tomb of the Dragon Emperor,2008,5.2,31,133782,52.0
1389,Marley & Me,2008,7.1,53,130809,71.0
1390,Defiance,2008,7.2,58,126748,72.0
1391,Harold & Kumar Escape from Guantanamo Bay,2008,6.6,57,121917,66.0
1392,Horton Hears a Who!,2008,6.8,71,117035,68.0
1393,"10,000 BC",2008,5.1,34,116917,51.0
1394,Max Payne,2008,5.4,31,114984,54.0
1395,Australia,2008,6.6,53,110891,66.0
1396,Doubt,2008,7.5,68,109724,75.0
1397,Sex and the City,2008,5.6,53,106891,56.0
1398,The Strangers,2008,6.2,47,105167,62.0
1399,Bronson,2008,7.1,71,103867,71.0
1400,Saw V,2008,5.8,20,101819,58.0
1401,Ponyo,2008,7.7,86,100808,77.0
1402,Street Kings,2008,6.8,55,100530,68.0
1403,Journey to the Center of the Earth,2008,5.8,57,99474,58.0
1404,Frost/Nixon,2008,7.7,80,94909,77.0
1405,Meet the Spartans,2008,2.7,9,94857,27.0
1406,The Forbidden Kingdom,2008,6.6,57,94535,66.0
1407,Mirrors,2008,6.2,35,94362,62.0
1408,The Other Boleyn Girl,2008,6.7,50,92874,67.0
1409,Never Back Down,2008,6.6,39,88047,66.0
1410,Babylon A.D.,2008,5.6,26,87603,56.0
1411,Be Kind Rewind,2008,6.4,52,84362,64.0
1412,The X Files: I Want to Believe,2008,5.9,47,83594,59.0
1413,Nick and Norah's Infinite Playlist,2008,6.7,64,81670,67.0
1414,Disaster Movie,2008,1.9,15,80114,19.0
1415,Bedtime Stories,2008,6.1,33,79282,61.0
1416,Righteous Kill,2008,6.0,36,78629,60.0
1417,Sex Drive,2008,6.5,49,77905,65.0
1418,The Spiderwick Chronicles,2008,6.6,62,77562,66.0
1419,Step Up 2: The Streets,2008,6.3,50,73962,63.0
1420,Semi-Pro,2008,5.8,47,72403,58.0
1421,The House Bunny,2008,5.5,55,70983,55.0
1422,Felon,2008,7.5,58,70961,75.0
1423,The Duchess,2008,6.9,62,69453,69.0
1424,"Synecdoche, New York",2008,7.5,67,67550,75.0
1425,Outlander,2008,6.3,40,67535,63.0
1426,Doomsday,2008,6.0,51,66983,60.0
1427,Eden Lake,2008,6.8,65,66724,68.0
1428,Fool's Gold,2008,5.7,29,66200,57.0
1429,Sunshine Cleaning,2008,6.9,61,65131,69.0
1430,How to Lose Friends & Alienate People,2008,6.4,35,64447,64.0
1431,Ghost Town,2008,6.7,72,64392,67.0
1432,Blindness,2008,6.6,45,64142,66.0
1433,The Ruins,2008,5.9,44,64050,59.0
1434,Speed Racer,2008,6.0,37,63252,60.0
1435,Quarantine,2008,6.0,53,63071,60.0
1436,Made of Honor,2008,5.9,37,60593,59.0
1437,Hunger,2008,7.6,82,58695,76.0
1438,City of Ember,2008,6.5,58,58062,65.0
1439,Superhero Movie,2008,4.5,33,57565,45.0
1440,The Spirit,2008,4.8,30,56571,48.0
1441,Pride and Glory,2008,6.7,45,56074,67.0
1442,Religulous,2008,7.7,56,55188,77.0
1443,Four Christmases,2008,5.7,41,54970,57.0
1444,Punisher: War Zone,2008,6.0,30,54830,60.0
1445,Appaloosa,2008,6.7,64,54157,67.0
1446,Drillbit Taylor,2008,5.7,41,54102,57.0
1447,The Midnight Meat Train,2008,6.1,58,53399,61.0
1448,Traitor,2008,7.0,60,52058,70.0
1449,Bangkok Dangerous,2008,5.4,24,51667,54.0
1450,Waltz with Bashir,2008,8.0,91,50696,80.0
1451,High School Musical 3: Senior Year,2008,4.6,57,50240,46.0
1452,Star Wars: The Clone Wars,2008,5.9,35,48318,59.0
1453,The Eye,2008,5.4,36,47632,54.0
1454,Man on Wire,2008,7.8,89,47347,78.0
1455,"Food, Inc.",2008,7.8,80,46708,78.0
1456,Transsiberian,2008,6.7,72,46224,67.0
1457,The Love Guru,2008,3.8,24,46086,38.0
1458,The Chaser,2008,7.9,64,45919,79.0
1459,The Brothers Bloom,2008,6.8,55,45157,68.0
1460,Lakeview Terrace,2008,6.1,47,44485,61.0
1461,Untraceable,2008,6.2,32,44098,62.0
1462,Rachel Getting Married,2008,6.7,82,43939,67.0
1463,W.,2008,6.3,56,43349,63.0
1464,Departures,2008,8.1,68,43027,81.0
1465,"New York, I Love You",2008,6.3,49,42093,63.0
1466,Gomorrah,2008,7.0,87,42055,70.0
1467,Red Cliff,2008,7.4,73,40281,74.0
1468,My Best Friend's Girl,2008,5.9,34,39792,59.0
1469,Baby Mama,2008,6.0,55,37158,60.0
1470,JCVD,2008,7.2,64,35468,72.0
1471,Deception,2008,6.1,31,35350,61.0
1472,Happy-Go-Lucky,2008,7.0,84,34966,70.0
1473,Meet Dave,2008,4.9,43,34713,49.0
1474,The Hottie & the Nottie,2008,1.9,7,34636,19.0
1475,The Rocker,2008,6.2,53,34502,62.0
1476,The Tale of Despereaux,2008,6.1,53,33243,61.0
1477,Nothing But the Truth,2008,7.2,64,33182,72.0
1478,Two Lovers,2008,7.1,74,32635,71.0
1479,The Baader Meinhof Complex,2008,7.4,76,32615,74.0
1480,The Class,2008,7.5,92,31540,75.0
1481,Passengers,2008,5.9,40,30924,59.0
1482,Nim's Island,2008,6.0,55,30457,60.0
1483,Prom Night,2008,3.9,17,30349,39.0
1484,Choke,2008,6.5,47,29954,65.0
1485,Che: Part Two,2008,6.9,64,29771,69.0
1486,Chaos Theory,2008,6.7,44,29713,67.0
1487,Shutter,2008,5.2,37,29685,52.0
1488,Splinter,2008,6.1,58,29680,61.0
1489,The Good the Bad the Weird,2008,7.3,69,29551,73.0
1490,Leatherheads,2008,6.0,56,29346,60.0
1491,Mesrine Part 1: Killer Instinct,2008,7.6,71,29164,76.0
1492,Pathology,2008,6.0,55,28723,60.0
1493,One Missed Call,2008,4.0,24,28647,40.0
1494,The Wackness,2008,7.0,61,28606,70.0
1495,Dear Zachary: A Letter to a Son About His Father,2008,8.6,82,27382,86.0
1496,On-Bak 2,2008,6.2,47,26892,62.0
1497,Mesrine Part 2: Public Enemy #1,2008,7.5,72,25825,75.0
1498,Pontypool,2008,6.6,54,25552,66.0
1499,Jodhaa Akbar,2008,7.6,69,25038,76.0
1500,Inglourious Basterds,2009,8.3,69,1052781,83.0
1501,Avatar,2009,7.8,83,994250,78.0
1502,Up,2009,8.3,88,793684,83.0
1503,The Hangover,2009,7.7,73,643526,77.0
1504,District 9,2009,7.9,81,584546,79.0
1505,Star Trek,2009,8.0,82,545027,80.0
1506,Sherlock Holmes,2009,7.6,57,529027,76.0
1507,Zombieland,2009,7.7,73,436714,77.0
1508,Watchmen,2009,7.6,56,434220,76.0
1509,500 Days of Summer,2009,7.7,76,424206,77.0
1510,X-Men Origins: Wolverine,2009,6.6,40,415447,66.0
1511,Harry Potter and the Half-Blood Prince,2009,7.6,78,386261,76.0
1512,Transformers: Revenge of the Fallen,2009,6.0,35,353318,60.0
1513,2012,2009,5.8,49,315199,58.0
1514,Terminator Salvation,2009,6.6,49,310506,66.0
1515,Moon,2009,7.9,67,298136,79.0
1516,Up in the Air,2009,7.4,83,291770,74.0
1517,3 Idiots,2009,8.4,67,276770,84.0
1518,The Proposal,2009,6.7,48,258495,67.0
1519,The Blind Side,2009,7.7,53,254115,77.0
1520,Public Enemies,2009,7.0,70,252399,70.0
1521,Angels & Demons,2009,6.7,48,242033,67.0
1522,Law Abiding Citizen,2009,7.4,34,241075,74.0
1523,The Twilight Saga: New Moon,2009,4.7,44,239392,47.0
1524,Fast & Furious,2009,6.6,46,232040,66.0
1525,Knowing,2009,6.2,41,202896,62.0
1526,The Road,2009,7.3,64,199041,73.0
1527,Ice Age: Dawn of the Dinosaurs,2009,7.0,50,191321,70.0
1528,The Girl with the Dragon Tattoo,2009,7.8,76,190700,78.0
1529,G.I. Joe: The Rise of Cobra,2009,5.8,32,186900,58.0
1530,Mr. Nobody,2009,7.9,63,185490,79.0
1531,The Ugly Truth,2009,6.5,28,182579,65.0
1532,"I Love You, Man",2009,7.0,70,180289,70.0
1533,Cloudy with a Chance of Meatballs,2009,7.0,66,175541,70.0
1534,Drag Me to Hell,2009,6.6,83,171347,66.0
1535,Coraline,2009,7.7,80,170290,77.0
1536,Orphan,2009,7.0,42,166820,70.0
1537,Fantastic Mr. Fox,2009,7.8,83,166511,78.0
1538,The Taking of Pelham 123,2009,6.4,55,165991,64.0
1539,The Secret in Their Eyes,2009,8.2,80,162702,82.0
1540,17 Again,2009,6.4,48,160545,64.0
1541,Surrogates,2009,6.3,45,160061,63.0
1542,Night at the Museum: Battle of the Smithsonian,2009,5.9,42,151032,59.0
1543,He's Just Not That Into You,2009,6.4,47,144646,64.0
1544,Adventureland,2009,6.8,76,143045,68.0
1545,The Lovely Bones,2009,6.7,42,139240,67.0
1546,Underworld: Rise of the Lycans,2009,6.6,44,137058,66.0
1547,Invictus,2009,7.4,74,136482,74.0
1548,The Imaginarium of Doctor Parnassus,2009,6.8,65,135207,68.0
1549,Pandorum,2009,6.8,28,133097,68.0
1550,Monsters vs. Aliens,2009,6.5,56,129500,65.0
1551,Brüno,2009,5.8,54,129441,58.0
1552,The Time Traveler's Wife,2009,7.1,47,127623,71.0
1553,Crank: High Voltage,2009,6.2,41,126356,62.0
1554,State of Play,2009,7.1,64,122283,71.0
1555,Gamer,2009,5.8,27,121696,58.0
1556,9,2009,7.1,60,121612,71.0
1557,An Education,2009,7.3,85,120097,73.0
1558,The Men Who Stare at Goats,2009,6.2,54,118489,62.0
1559,A Serious Man,2009,7.0,79,115733,70.0
1560,Daybreakers,2009,6.5,57,113605,65.0
1561,Funny People,2009,6.3,60,106743,63.0
1562,The Invention of Lying,2009,6.4,58,103014,64.0
1563,The Princess and the Frog,2009,7.1,73,102840,71.0
1564,Jennifer's Body,2009,5.2,47,101992,52.0
1565,Antichrist,2009,6.6,49,101013,66.0
1566,Brothers,2009,7.1,58,98971,71.0
1567,Pirate Radio,2009,7.4,58,98566,74.0
1568,Push,2009,6.1,36,97820,61.0
1569,Precious,2009,7.3,79,96989,73.0
1570,A Single Man,2009,7.6,77,96136,76.0
1571,Where the Wild Things Are,2009,6.8,71,94276,68.0
1572,Paul Blart: Mall Cop,2009,5.2,39,92218,52.0
1573,Couples Retreat,2009,5.5,23,91095,55.0
1574,Julie & Julia,2009,7.0,66,90655,70.0
1575,Bride Wars,2009,5.5,24,89882,55.0
1576,Saw VI,2009,6.0,30,88940,60.0
1577,A Christmas Carol,2009,6.8,55,85999,68.0
1578,A Prophet,2009,7.9,90,85666,79.0
1579,Splice,2009,5.8,66,85325,58.0
1580,I Love You Phillip Morris,2009,6.6,65,84990,66.0
1581,The Final Destination,2009,5.2,30,84875,52.0
1582,Friday the 13th,2009,5.6,34,84862,56.0
1583,The International,2009,6.5,52,84751,65.0
1584,The Box,2009,5.6,47,82849,56.0
1585,Year One,2009,4.9,34,82426,49.0
1586,My Sister's Keeper,2009,7.4,51,82355,74.0
1587,The Girl Who Played with Fire,2009,7.2,66,81531,72.0
1588,Harry Brown,2009,7.2,55,78909,72.0
1589,It's Complicated,2009,6.6,57,77278,66.0
1590,Crazy Heart,2009,7.3,83,76364,73.0
1591,The Last House on the Left,2009,6.6,42,76070,66.0
1592,Ghosts of Girlfriends Past,2009,5.8,34,74675,58.0
1593,Bad Lieutenant: Port of Call New Orleans,2009,6.6,69,69191,66.0
1594,Youth in Revolt,2009,6.5,63,69167,65.0
1595,The Uninvited,2009,6.4,43,68911,64.0
1596,Confessions of a Shopaholic,2009,5.9,38,68662,59.0
1597,Case 39,2009,6.2,25,68021,62.0
1598,The Fourth Kind,2009,5.9,34,67968,59.0
1599,Whatever Works,2009,7.2,45,65184,72.0
1600,The Human Centipede (First Sequence),2009,4.4,33,64906,44.0
1601,Solomon Kane,2009,6.1,48,64192,61.0
1602,Dragonball: Evolution,2009,2.6,45,63220,26.0
1603,Chloe,2009,6.3,48,62791,63.0
1604,Ninja Assassin,2009,6.4,34,62675,64.0
1605,A Perfect Getaway,2009,6.5,63,61744,65.0
1606,[Rec] 2,2009,6.5,52,61510,65.0
1607,Dogtooth,2009,7.3,73,60514,73.0
1608,The White Ribbon,2009,7.8,82,60305,78.0
